,model,data_set,qrels,MRR@10,Recall@10,QueriesWithNoRelevant@10,QueriesWithRelevant@10,AverageRankGoldLabel@10,MedianRankGoldLabel@10,MRR@20,Recall@20,QueriesWithNoRelevant@20,QueriesWithRelevant@20,AverageRankGoldLabel@20,MedianRankGoldLabel@20,MRR@1000,Recall@1000,QueriesWithNoRelevant@1000,QueriesWithRelevant@1000,AverageRankGoldLabel@1000,MedianRankGoldLabel@1000,nDCG@3,nDCG@5,nDCG@10,nDCG@20,nDCG@1000,QueriesRanked,MAP@1000
0,knrm,ms marco,./data/Part-2/msmarco_qrels.txt,0.20115039682539682,0.42383333333333334,1140,860,3.8360465116279068,3.0,0.2071852844201722,0.5097083333333333,969,1031,5.628516003879729,4.0,0.21039847992016794,0.6002916666666668,788,1212,9.155115511551156,5.0,0.18336644800718668,0.2155505057881126,0.25190634191087974,0.27398159794305693,0.29272958331116844,2000,0.20700076055331504
1,tk,ms marco,./data/Part-2/msmarco_qrels.txt,0.20115039682539682,0.42383333333333334,1140,860,3.8360465116279068,3.0,0.2071852844201722,0.5097083333333333,969,1031,5.628516003879729,4.0,0.21039847992016794,0.6002916666666668,788,1212,9.155115511551156,5.0,0.18336644800718668,0.2155505057881126,0.25190634191087974,0.27398159794305693,0.29272958331116844,2000,0.20700076055331504
2,knrm,fira 22,./data/Part-1/fira-22.baseline-qrels.tsv,0.9596100164203611,0.9389501146089816,116,4059,1.0960827790096084,1.0,0.9596276096645554,1.0,115,4060,1.0992610837438423,1.0,0.9596276096645554,1.0,115,4060,1.0992610837438423,1.0,0.870207911567117,0.8736926425934103,0.8979045704352723,0.9197945059930586,0.9197945059930586,4060,0.9415025791378779
3,tk,fira 22,./data/Part-1/fira-22.baseline-qrels.tsv,0.9596100164203611,0.9389501146089816,116,4059,1.0960827790096084,1.0,0.9596276096645554,1.0,115,4060,1.0992610837438423,1.0,0.9596276096645554,1.0,115,4060,1.0992610837438423,1.0,0.870207911567117,0.8736926425934103,0.8979045704352723,0.9197945059930586,0.9197945059930586,4060,0.9415025791378779
